Position,Batsman,Team,Matches,Innings,Not_out,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes
1,Suryakumar Yadav,MI,12,12,4,510,68,63.75,299,170.56,0,3,0,51,26
2,Sai Sudharsan,GT,11,11,0,509,82,46.27,332,153.31,0,5,0,56,16
3,Shubman Gill,GT,11,11,1,508,90,50.8,333,152.55,0,5,0,51,16
4,Virat Kohli,RCB,11,11,3,505,73,63.12,352,143.46,0,7,0,44,18
5,Jos Buttler,GT,11,11,4,500,97,71.42,305,163.93,0,5,1,49,22
6,Prabhsimran Singh,PBKS,12,12,1,487,91,44.27,285,170.87,0,5,1,52,24
7,Yashasvi Jaiswal,RR,12,12,1,473,75,43,306,154.57,0,5,0,46,25
8,Priyansh Arya,PBKS,12,12,0,417,103,34.75,214,194.85,1,2,1,42,28
9,Nicholas Pooran,LSG,11,11,1,410,87,41,204,200.98,0,4,0,34,34
10,Shreyas Iyer,PBKS,12,11,3,405,97,50.62,224,180.8,0,4,1,27,27
11,KL Rahul,DC,11,10,2,381,93,47.62,268,142.16,0,3,0,30,16
12,Mitchell Marsh,LSG,10,10,0,378,81,37.8,243,155.55,0,4,2,36,20
13,Riyan Parag,RR,12,12,2,377,95,37.7,221,170.58,0,1,0,27,26
14,Ajinkya Rahane,KKR,12,11,1,375,61,37.5,256,146.48,0,3,0,33,20
15,Aiden Markram,LSG,11,11,0,348,66,31.63,237,146.83,0,4,0,31,16
