Position,Bowler,Team,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best_bowling_figure,Economy_rate,Four_wicket_haul,Five_wicket_hall
1,Prasidh Krishna,GT,11,11,258,43,0,329,20,4--41,7.65,1,0
2,Noor Ahmad,CSK,12,12,258,43,0,345,20,4--18,8.02,2,0
3,Josh Hazlewood,RCB,10,10,221,36.5,0,311,18,4--33,8.44,1,0
4,Trent Boult,MI,12,12,253,42.1,0,358,18,4--26,8.49,1,0
5,Varun Chakravarthy,KKR,12,12,282,47,0,329,17,3--22,7,0,0
6,Arshdeep Singh,PBKS,12,10,218,36.2,1,291,16,3--16,8,0,0
7,Vaibhav Arora,KKR,11,11,231,38.3,1,391,16,3--29,10.15,0,0
8,Mohammed Siraj,GT,11,11,246,41,0,369,15,4--17,9,1,0
9,Harshit Rana,KKR,12,12,246,41,0,408,15,3--25,9.95,0,0
10,R Sai Kishore,GT,11,11,177,29.3,0,247,14,3--30,8.37,0,0
11,Krunal Pandya,RCB,11,11,210,35,0,300,14,4--45,8.57,1,0
12,Harshal Patel,SRH,10,10,204,34,0,321,14,4--28,9.44,2,0
13,Yuzvendra Chahal,PBKS,12,10,198,33,0,324,14,4--28,9.81,2,0
14,Mitchell Starc,DC,12,11,228,38,0,389,14,5--35,10.23,0,1
15,Khaleel Ahmed,CSK,12,12,244,40.4,0,395,14,3--29,9.71,0,0
